month_num,group,perecnt_complete,percent_complete
3,Non-Pilot,0.8260623229461757,NA
3,Pilot,0.8143459915611815,NA
4,Non-Pilot,0.8186896901980701,NA
4,Pilot,0.8401639344262295,NA
5,Non-Pilot,0.8092566619915849,NA
5,Pilot,0.8197879858657244,NA
3,Cardiology,NA,0.8857142857142857
3,Dermatology,NA,0.7739130434782608
3,ENT,NA,0.8867924528301887
3,Endocrinology,NA,0.75
3,Gastroenterology,NA,0.8478260869565217
3,Geri/Palliative Care,NA,0.7037037037037037
3,Geriatrics (Ingleside),NA,0
3,Hematology/Oncology,NA,0.8333333333333334
3,Infectious Disease,NA,0.8072289156626506
3,Interventional Radiology,NA,1
3,Nephrology (FB),NA,0.7894736842105263
3,Nephrology (M St),NA,1
3,Neurology,NA,0.9090909090909091
3,Obstetrics/Gynecology,NA,0.8311688311688312
3,Ophthalmology,NA,0.6129032258064516
3,Pain Management,NA,0.6
3,Physical Medicine and Rehabilitation,NA,1
3,Podiatry,NA,0.7875
3,Primary Care,NA,0.8917525773195877
3,Pulmonology,NA,0.7894736842105263
3,Radiation Oncology,NA,0
3,Rheumatology,NA,1
3,Surgery,NA,0.7872807017543859
3,Urology,NA,0.76
4,Cardiology,NA,0.8169014084507042
4,Dermatology,NA,0.7987012987012987
4,ENT,NA,0.8669527896995708
4,Endocrinology,NA,1
4,Gastroenterology,NA,0.8275862068965517
4,Geri/Palliative Care,NA,0.8095238095238095
4,Geriatrics (Ingleside),NA,0
4,Hematology/Oncology,NA,0.875
4,Infectious Disease,NA,0.8985507246376812
4,Nephrology (FB),NA,0.9285714285714286
4,Neurology,NA,0.8947368421052632
4,Obstetrics/Gynecology,NA,0.83203125
4,Ophthalmology,NA,0.48936170212765956
4,Pain Management,NA,0.75
4,Physical Medicine and Rehabilitation,NA,0.6666666666666666
4,Podiatry,NA,0.8252427184466019
4,Primary Care,NA,0.8941504178272981
4,Pulmonology,NA,0.7916666666666666
4,Radiation Oncology,NA,0.16666666666666666
4,Rheumatology,NA,0.6
4,Surgery,NA,0.7810760667903525
4,Urology,NA,0.7692307692307693
5,Cardiology,NA,0.8395061728395061
5,Dermatology,NA,0.7142857142857143
5,ENT,NA,0.8496732026143791
5,Gastroenterology,NA,0.8939393939393939
5,Geri/Palliative Care,NA,0.7555555555555555
5,Geriatrics (Ingleside),NA,0
5,Hematology/Oncology,NA,0.9166666666666666
5,Infectious Disease,NA,0.8172043010752689
5,Interventional Radiology,NA,0.75
5,Nephrology (FB),NA,0.9285714285714286
5,Neurology,NA,0.8559322033898306
5,Obstetrics/Gynecology,NA,0.7766990291262136
5,Ophthalmology,NA,0.7083333333333334
5,Pain Management,NA,0.8
5,Physical Medicine and Rehabilitation,NA,1
5,Podiatry,NA,0.753968253968254
5,Primary Care,NA,0.8785310734463276
5,Pulmonology,NA,0.82
5,Radiation Oncology,NA,0.6666666666666666
5,Rheumatology,NA,0.6666666666666666
5,Surgery,NA,0.8078817733990148
5,Urology,NA,0.8253968253968254
